title,genres,popularity,release_date,budget,revenue,vote_count,vote_average,status,runtime,imdb_id,Metascore,imdbRating
Young & Beautiful,['Drama'],31.898,2013-08-21,4645437,9757417,1221,6.478,Released,95,tt2752200,63,6.7
Murder on the Orient Express,"['Drama', 'Thriller', 'Mystery']",32.638,1974-11-22,1400000,35700000,1409,7.1,Released,128,tt0071877,63,7.2
Blood Red Sky,"['Horror', 'Thriller', 'Action']",41.896,2021-07-23,17739525,0,1538,6.9,Released,123,tt6402468,43,6.1
Scooby-Doo! The Mystery Begins,"['Mystery', 'Comedy', 'Fantasy']",38.137,2009-09-13,0,13000000,688,6.4,Released,82,tt1258157,N/A,5.3
Purpose of Reunion 3,"['Drama', 'Romance']",40.143,2018-02-20,0,0,9,5.3,Released,80,,,
Grand Jete,['Drama'],33.196,2022-09-20,0,0,26,4.9,Released,105,tt13887082,N/A,4.8
Hunting Games,"['Action', 'Thriller', 'TV Movie']",39.136,2023-05-12,0,0,16,4.2,Released,94,tt26771713,N/A,3.4
Ghostbusters II,"['Comedy', 'Fantasy']",28.63,1989-06-16,37000000,215394738,4420,6.575,Released,108,tt0097428,56,6.6
#Alive,"['Action', 'Horror']",33.389,2020-06-24,6300000,13416285,1822,7.2,Released,98,tt10620868,N/A,6.3
Transporter 3,"['Action', 'Thriller', 'Crime']",36.379,2008-11-26,30000000,109000000,3354,6.149,Released,104,tt1129442,51,6.1
Oz the Great and Powerful,"['Fantasy', 'Adventure', 'Family']",34.643,2013-03-07,200000000,491868548,6488,5.9,Released,130,tt1623205,44,6.3
Skal: Fight for Survival,"['Action', 'Horror', 'Comedy', 'Thriller']",38.57,2023-11-24,0,0,80,5.5,Released,77,tt26252546,N/A,N/A
Buddy's Mom,"['Drama', 'Romance']",40.365,2015-11-12,0,0,8,5.0,Released,101,tt6571010,N/A,7.0
John Carter,"['Action', 'Adventure', 'Science Fiction']",37.626,2012-03-07,250000000,284100000,5594,6.323,Released,132,tt0401729,51,6.6
Frozen Fever,"['Animation', 'Family', 'Adventure', 'Comedy']",34.873,2015-03-09,0,0,1819,6.826,Released,8,tt4007502,N/A,6.8
Pokémon the Movie: I Choose You!,"['Family', 'Animation', 'Adventure', 'Fantasy']",27.872,2017-07-15,0,37552144,624,7.1,Released,98,tt6595896,N/A,6.3
Three,"['Drama', 'Thriller']",25.867,2006-05-05,9000000,0,237,5.447,Released,95,tt0377309,N/A,4.9
Escape to Victory,"['Drama', 'War']",29.116,1981-06-17,10000000,27453418,914,6.892,Released,116,tt0083284,57,6.6
The Adventures of Tintin,"['Adventure', 'Animation', 'Mystery']",42.018,2011-10-24,130000000,373993951,5367,6.897,Released,107,tt0983193,68,7.3
Dark Phoenix,"['Science Fiction', 'Action', 'Adventure']",45.874,2019-06-05,200000000,252442974,6523,6.0,Released,114,tt6565702,43,5.7
Lady and the Tramp II: Scamp's Adventure,"['Family', 'Animation', 'Romance', 'Adventure']",32.12,2001-02-18,0,0,1244,6.354,Released,69,tt0249677,N/A,5.9
Clash of the Titans,"['Adventure', 'Fantasy']",36.612,1981-06-12,12000000,41092328,757,6.9,Released,118,tt0082186,59,6.9
And Mrs,['Comedy'],33.005,2024-09-20,0,0,6,6.0,Released,111,tt6614198,N/A,6.0
Where Eagles Dare,"['Action', 'Adventure', 'War']",35.866,1968-12-04,7700000,21000000,878,7.5,Released,155,tt0065207,63,7.6
My Hero Academia: Heroes Rising,"['Animation', 'Action', 'Fantasy', 'Adventure']",38.371,2019-12-20,0,30017163,1168,8.171,Released,104,tt11107074,70,7.8
Casper's Haunted Christmas,"['Animation', 'Family', 'Fantasy']",37.858,2000-10-31,0,0,183,5.385,Released,84,tt0284946,N/A,4.6
Forgotten Love,"['Drama', 'Romance']",24.904,2023-09-26,0,0,278,7.9,Released,140,tt26596953,N/A,7.5
My Hero Academia: Heroes Rising,"['Animation', 'Action', 'Fantasy', 'Adventure']",38.371,2019-12-20,0,30017163,1168,8.171,Released,104,tt11107074,70,7.8
Home,"['Fantasy', 'Comedy', 'Animation', 'Science Fiction', 'Family']",34.611,2015-03-18,135000000,368871007,3958,6.8,Released,94,tt2224026,55,6.5
The Treacherous,"['Drama', 'History', 'Crime']",31.549,2015-05-21,0,6906250,73,6.0,Released,133,tt4844288,N/A,6.1
Labyrinth,"['Adventure', 'Family', 'Fantasy']",32.854,1986-06-27,25000000,12729917,2421,7.276,Released,102,tt0091369,50,7.3
The Park Maniac,"['Drama', 'Crime', 'Thriller']",23.54,2024-10-12,0,0,47,5.7,Released,103,tt28497675,N/A,4.9
A Chinese Torture Chamber Story,"['Horror', 'Comedy', 'Drama']",33.776,1994-05-19,0,0,56,5.6,Released,93,tt0113757,N/A,5.9
Lie with Me,['Drama'],34.349,2006-02-14,2200000,0,268,5.188,Released,93,tt0418832,N/A,5.2
Olaf's Frozen Adventure,"['Animation', 'Family', 'Adventure', 'Comedy', 'Fantasy']",40.101,2017-10-27,0,0,1428,6.457,Released,22,tt5452780,N/A,5.7
The Dictator,['Comedy'],38.101,2012-05-15,65000000,179379533,5844,6.197,Released,83,tt1645170,58,6.5
Lola's Secret,"['Drama', 'Comedy']",34.846,1984-05-04,0,0,58,7.3,Released,88,tt0089790,N/A,4.7
Overboard,"['Romance', 'Comedy']",35.852,2018-04-13,12000000,91244913,1368,6.7,Released,112,tt1563742,42,6.0
Bound by Honor,"['Crime', 'Action', 'Drama', 'Thriller']",39.345,1993-02-05,35000000,4500000,1341,8.142,Released,180,tt0106469,47,7.9
Hellboy II: The Golden Army,"['Fantasy', 'Adventure', 'Action']",36.347,2008-07-11,85000000,160388063,5173,6.764,Released,120,tt0411477,78,7.0
The Forbidden Kingdom,"['Action', 'Adventure', 'Fantasy']",31.344,2008-04-17,55000000,127906624,1695,6.614,Released,104,tt0865556,57,6.5
Puss in Boots: The Three Diablos,"['Adventure', 'Animation', 'Comedy', 'Family']",35.84,2012-02-07,0,0,478,6.5,Released,13,tt2268617,N/A,6.9
Noryang: Deadly Sea,"['Action', 'History', 'Drama', 'War']",39.888,2023-12-20,40000000,18200000,139,6.3,Released,153,tt22813112,N/A,6.3
The Irishman,"['Crime', 'Drama', 'History']",38.098,2019-11-01,159000000,968853,6804,7.6,Released,209,tt1302006,94,7.8
Fighter,"['Action', 'Drama']",31.393,2024-01-24,30069500,43160558,114,5.8,Released,167,tt13818368,N/A,6.2
Asteroid City,"['Comedy', 'Drama']",30.622,2023-06-08,25000000,47281670,1888,6.5,Released,105,tt14230388,74,6.5
"Crouching Tiger, Hidden Dragon","['Adventure', 'Drama', 'Action', 'Romance']",36.336,2000-07-06,17000000,213525736,3201,7.43,Released,120,tt0190332,94,7.9
13 Going on 30,"['Comedy', 'Fantasy', 'Romance']",43.082,2004-04-13,37000000,96500000,5115,6.8,Released,98,tt0337563,57,6.3
"LaRoy, Texas","['Crime', 'Comedy', 'Thriller']",30.659,2024-04-12,0,0,121,6.9,Released,110,tt20102596,N/A,6.5
Scent of a Woman,"['Drama', 'Comedy']",41.83,1992-12-23,31000000,134100000,3393,7.792,Released,156,tt0105323,59,8.0
Kiss the Girls,"['Thriller', 'Crime', 'Mystery', 'Drama']",30.581,1997-09-29,27000000,60527873,1637,6.528,Released,115,tt0119468,46,6.6
Wicked Minds,"['Mystery', 'Drama', 'Romance', 'Thriller']",52.063,2003-03-01,0,0,27,6.1,Released,93,tt0338556,N/A,5.3
Skyscraper,"['Action', 'Thriller', 'Adventure']",38.833,2018-07-11,125000000,292400000,4966,6.319,Released,102,tt5758778,51,5.8
Balkan Line,"['Drama', 'Action', 'War']",39.092,2019-03-21,3500000,4944386,517,7.5,Released,130,tt5951188,N/A,6.6
The Secret of Kells,"['Animation', 'Family', 'Fantasy']",22.313,2009-02-09,8000000,1803412,687,7.402,Released,78,tt0485601,81,7.5
Midnight in Paris,"['Fantasy', 'Comedy', 'Romance']",35.071,2011-05-11,17000000,151119219,7259,7.528,Released,94,tt1605783,81,7.6
Natsume's Book of Friends: Ephemeral Bond,"['Animation', 'Fantasy', 'Drama']",30.518,2018-09-29,0,0,23,7.4,Released,104,tt9081300,N/A,7.1
Mi prima la sexóloga 2 (de la fantasía a la realidad),"['Comedy', 'Drama']",33.173,2024-05-15,0,0,84,6.952,Released,0,,,
The Sea Beast,"['Animation', 'Adventure', 'Action', 'Family', 'Fantasy']",39.586,2022-06-24,0,0,1464,7.352,Released,115,tt9288046,74,7.0
Naruto the Movie: Guardians of the Crescent Moon Kingdom,"['Adventure', 'Animation', 'Action']",28.822,2006-08-05,0,3200000,442,7.038,Released,95,tt1071815,N/A,6.3
This Is Where I Leave You,"['Drama', 'Comedy']",25.064,2014-09-10,19800000,41300000,1328,6.613,Released,103,tt1371150,44,6.6
The Angry Birds Movie,"['Animation', 'Adventure', 'Comedy', 'Family']",37.327,2016-05-11,73000000,349779543,3660,6.2,Released,97,tt1985949,43,6.3
Back to the Future Part III,"['Adventure', 'Comedy', 'Science Fiction']",38.681,1990-05-25,40000000,244527583,10516,7.484,Released,119,tt0099088,55,7.4
I Now Pronounce You Chuck & Larry,"['Comedy', 'Romance']",27.812,2007-07-12,85000000,187134117,2313,6.051,Released,115,tt0762107,37,5.9
Deck the Halls,"['Comedy', 'Family']",49.885,2006-11-22,51000000,47231070,687,5.6,Released,93,tt0790604,28,5.1
Idol Sex: LA Korean Women,"['Romance', 'Drama']",31.424,2020-06-18,0,0,1,1.0,Released,65,,,
The Lover,"['Drama', 'Romance']",42.637,1992-01-22,0,5013090,676,7.0,Released,115,tt0101316,59,6.8
To Be Twenty,['Comedy'],37.041,1978-07-14,0,0,72,5.8,Released,94,tt0077191,N/A,5.8
Son of the Mask,"['Fantasy', 'Comedy', 'Family', 'Adventure']",34.886,2005-02-11,84000000,59918422,1828,4.2,Released,94,tt0362165,20,2.3
Mowgli: Legend of the Jungle,"['Adventure', 'Drama']",31.14,2018-11-25,175000000,0,2470,6.5,Released,105,tt2388771,51,6.5
American Made,"['Comedy', 'Crime', 'Drama']",41.14,2017-08-18,50000000,133511855,4498,6.884,Released,115,tt3532216,65,7.1
Child 44,"['Crime', 'Thriller']",30.637,2015-03-15,50000000,12951093,1644,6.3,Released,137,tt1014763,41,6.4
Wind River,"['Crime', 'Mystery', 'Thriller', 'Western']",45.139,2017-08-03,11000000,44998252,5199,7.437,Released,107,tt5362988,73,7.7
Godzilla,"['Science Fiction', 'Action', 'Thriller']",36.629,1998-05-20,130000000,379014294,3885,5.6,Released,138,tt0120685,32,5.4
Attack on Titan II: End of the World,"['Horror', 'Science Fiction', 'Action']",40.375,2015-09-01,0,15187789,347,6.1,Released,87,tt4294052,N/A,4.7
A Million Ways to Die in the West,"['Comedy', 'Western']",30.49,2014-05-22,40000000,86400000,4065,6.043,Released,116,tt2557490,44,6.1
Child's Play 3,"['Horror', 'Thriller']",32.627,1991-08-30,13000000,20560255,1583,5.9,Released,90,tt0103956,27,5.2
Drag Me to Hell,"['Horror', 'Thriller']",35.875,2009-05-27,30000000,90810892,3698,6.4,Released,99,tt1127180,83,6.6
"Mom, Is That You?!","['Drama', 'Comedy', 'Family']",36.87,2023-09-01,0,0,7,5.7,Released,111,tt27412934,N/A,6.7
Caligula,"['Drama', 'History']",33.377,1979-08-14,17500000,23400000,846,6.0,Released,156,tt0080491,N/A,5.3
Wolf Man,"['Horror', 'Thriller']",28.174,2025-01-15,0,0,0,0.0,Post Production,102,tt4216984,N/A,N/A
Sin City,"['Thriller', 'Action', 'Crime']",39.871,2005-04-01,40000000,158700000,8113,7.459,Released,124,tt0401792,74,8.0
Mrs. Doubtfire,"['Comedy', 'Drama', 'Family']",35.114,1993-11-24,25000000,441286195,6100,7.196,Released,125,tt0107614,54,7.1
The Naked Gun: From the Files of Police Squad!,"['Comedy', 'Crime']",48.113,1988-12-02,12000000,152356177,3680,7.254,Released,86,tt0095705,76,7.6
Instant Family,"['Comedy', 'Drama']",34.371,2018-11-13,48000000,121000000,2948,7.5,Released,118,tt7401588,57,7.3
The Last Stop in Yuma County,"['Crime', 'Thriller']",32.071,2024-05-10,0,94344,129,7.097,Released,91,tt11674730,N/A,6.9
The 13th Warrior,"['Adventure', 'History', 'Action']",31.236,1999-08-13,120000000,61698899,1834,6.7,Released,102,tt0120657,42,6.6
Dragon Ball: Curse of the Blood Rubies,"['Action', 'Animation', 'Adventure', 'Comedy', 'Fantasy', 'Science Fiction']",35.228,1986-12-20,0,0,331,6.8,Released,50,tt0142251,N/A,6.7
All the Bright Places,"['Romance', 'Drama']",31.988,2020-02-28,0,0,2859,7.649,Released,108,tt3907584,61,6.6
Frankenweenie,"['Animation', 'Comedy', 'Family']",36.233,2012-10-04,39000000,81493846,3351,6.986,Released,87,tt1142977,74,6.9
12 Strong,"['War', 'Drama', 'Action', 'History']",35.985,2018-01-18,35000000,67450815,2949,6.323,Released,130,tt1413492,54,6.5
The Cloverfield Paradox,"['Horror', 'Science Fiction', 'Thriller']",27.239,2018-02-04,45000000,0,3247,5.6,Released,102,tt2548396,37,5.5
New Police Story,"['Action', 'Thriller', 'Crime', 'Drama']",33.728,2004-09-23,20000000,8700000,715,7.1,Released,122,tt0386005,N/A,6.9
Stand by Me Doraemon,"['Animation', 'Family', 'Science Fiction', 'Fantasy', 'Adventure']",29.98,2014-08-08,35000000,83100000,529,7.317,Released,94,tt3331846,N/A,7.3
Downfall,"['Drama', 'History', 'War']",40.857,2004-09-16,16000000,92200000,3841,7.9,Released,155,tt0363163,82,8.2
Alone,"['Thriller', 'Horror']",26.043,2020-09-10,0,0,724,6.3,Released,98,tt7711170,70,6.2
Barbie and Stacie to the Rescue,"['Animation', 'Family']",25.621,2024-03-03,0,0,11,7.1,Released,60,tt31181357,N/A,5.9
Consent,"['History', 'Drama']",38.269,2023-10-11,3700000,4710394,183,6.8,Released,119,tt26255020,N/A,N/A
"As Above, So Below","['Horror', 'Thriller']",37.228,2014-08-14,5000000,41900000,3463,6.715,Released,93,tt2870612,39,6.3
Incantation,['Horror'],35.233,2022-03-18,0,5700000,670,6.8,Released,111,tt18968540,N/A,6.2
Fresh,"['Horror', 'Thriller']",31.989,2022-03-03,0,0,1588,6.982,Released,115,tt13403046,67,6.7
Shin Godzilla,"['Action', 'Science Fiction', 'Horror']",36.225,2016-07-29,15000000,78053145,1305,7.189,Released,120,tt4262980,67,6.8
Creation of the Gods II: Demonic Confrontation,"['Action', 'Fantasy', 'War', 'Adventure']",51.237,2025-01-29,0,0,0,0.0,Post Production,0,tt32843325,N/A,N/A
Seventh Son,"['Adventure', 'Fantasy']",34.952,2014-12-12,95000000,114178613,2484,5.5,Released,102,tt1121096,30,5.5
Ferrari,"['History', 'Drama']",38.518,2023-12-14,95000000,39220516,961,6.4,Released,131,tt3758542,N/A,6.4
Diary of a Wimpy Kid,"['Comedy', 'Family']",31.283,2010-03-19,15000000,76196538,1583,6.2,Released,92,tt1196141,56,6.2
Saw VI,"['Horror', 'Thriller']",34.531,2009-10-22,11000000,68234154,3215,6.29,Released,90,tt1233227,30,6.0
The Wandering Earth II,['Science Fiction'],39.052,2023-01-22,73800000,604400000,574,7.3,Released,173,tt13539646,56,6.7
The Last King of Scotland,['Drama'],48.775,2006-01-12,6000000,48600000,2115,7.423,Released,123,tt0455590,74,7.6
White Bird,"['Drama', 'War', 'History']",30.739,2023-10-25,20000000,8522806,89,7.8,Released,121,tt11068094,N/A,7.3
Demolition Man,"['Crime', 'Action', 'Science Fiction']",36.528,1993-10-08,57000000,58055768,3667,6.7,Released,115,tt0106697,34,6.7
Storks,"['Adventure', 'Animation', 'Comedy', 'Family']",28.778,2016-09-22,70000000,182379278,2328,6.7,Released,87,tt4624424,56,6.8
Empire of Lust,"['Romance', 'Drama', 'History']",31.597,2015-03-05,0,3191168,44,6.886,Released,113,tt3544326,N/A,6.1
Lost in Translation,"['Drama', 'Romance']",35.268,2003-09-18,4000000,119723856,7324,7.387,Released,102,tt0335266,91,7.7
The Arctic Convoy,"['War', 'Drama']",29.931,2023-12-25,6600000,3637940,62,6.661,Released,109,tt27724113,N/A,6.5
The Phantom of the Opera,"['Thriller', 'Drama', 'Romance']",32.767,2004-12-08,70000000,154674241,1618,7.3,Released,141,tt0293508,40,7.2
Bound,"['Drama', 'Thriller', 'Crime']",31.016,1996-09-13,4500000,7011317,933,7.189,Released,105,tt0115736,61,7.3
The Marksman,"['Action', 'Drama', 'Thriller']",39.277,2021-01-15,23000000,23076711,1588,6.8,Released,108,tt6902332,44,5.7
Rurouni Kenshin: The Beginning,"['Action', 'Adventure', 'Drama', 'Romance']",32.279,2021-06-04,0,0,455,7.677,Released,138,tt11991748,N/A,7.4
UI,"['Thriller', 'Fantasy']",38.831,2024-12-20,0,0,0,0.0,Released,130,tt23875550,N/A,8.7
12th Fail,['Drama'],28.059,2023-10-27,2400000,8300000,131,8.0,Released,146,tt23849204,N/A,8.8
Confessions of a Shopaholic,"['Comedy', 'Romance']",32.764,2009-02-05,40000000,108300000,2599,6.483,Released,104,tt1093908,38,5.8
Mr. Deeds,"['Comedy', 'Romance']",39.269,2002-06-28,50000000,171269565,2275,5.892,Released,96,tt0280590,24,5.8
The Princess Bride,"['Adventure', 'Family', 'Fantasy', 'Comedy', 'Romance']",41.271,1987-09-25,16000000,30900000,4539,7.678,Released,99,tt0093779,77,8.0
The Infallibles,"['Comedy', 'Action']",34.067,2024-06-20,0,0,89,6.3,Released,99,tt28290049,N/A,4.7
Freddy vs. Jason,['Horror'],37.04,2003-08-15,30000000,116643421,2580,6.1,Released,97,tt0329101,37,5.7
Inheritance,"['Drama', 'Mystery', 'Thriller']",27.048,2020-04-30,0,0,635,6.4,Released,110,tt7923220,31,5.6
The 5th Wave,"['Science Fiction', 'Adventure', 'Action']",37.542,2016-01-14,38000000,109906372,5725,5.9,Released,112,tt2304933,33,5.2
Fear,['Thriller'],41.784,1996-04-12,0,0,828,6.4,Released,97,tt0116287,51,6.2
Ocean's Twelve,"['Thriller', 'Crime']",32.786,2004-12-09,110000000,362744280,7242,6.567,Released,125,tt0349903,58,6.5
The League of Extraordinary Gentlemen,"['Fantasy', 'Action', 'Thriller', 'Science Fiction']",34.038,2003-07-11,78000000,179265204,4021,5.967,Released,110,tt0311429,30,5.8
The Old Guard,"['Action', 'Fantasy']",28.794,2020-07-10,70000000,0,4148,7.136,Released,125,tt7556122,70,6.7
Padre no hay más que uno 4: Campanas de boda,"['Family', 'Comedy']",35.727,2024-07-17,0,14668098,69,7.08,Released,99,tt29871729,N/A,5.2
Utopia,"['Mystery', 'Thriller', 'Action', 'Science Fiction']",30.155,2024-12-09,0,0,7,4.1,Released,93,tt32001464,N/A,N/A
Underworld: Evolution,"['Fantasy', 'Action', 'Thriller']",28.502,2006-01-12,50000000,111476513,3994,6.6,Released,106,tt0401855,36,6.7
I Now Pronounce You Chuck & Larry,"['Comedy', 'Romance']",27.812,2007-07-12,85000000,187134117,2313,6.051,Released,115,tt0762107,37,5.9
Run All Night,"['Action', 'Crime', 'Thriller']",36.448,2015-03-11,50000000,71561644,2785,6.4,Released,114,tt2199571,59,6.6
I Saw the Devil,"['Thriller', 'Horror']",33.281,2010-08-12,6000000,12966357,2575,7.8,Released,144,tt1588170,67,7.8
Wildlife,['Drama'],25.282,2018-09-23,0,3097257,712,6.7,Released,105,tt5929754,80,6.8
Police Academy,"['Comedy', 'Crime']",26.528,1984-03-22,4500000,81198894,2663,6.684,Released,97,tt0087928,41,6.7
There's Something About Mary,"['Romance', 'Comedy']",39.774,1998-07-15,23000000,369900000,4917,6.6,Released,120,tt0129387,69,7.1
Marco,['Action'],40.978,2024-12-20,0,0,0,0.0,Released,141,tt29383379,N/A,N/A
Climax,"['Horror', 'Drama']",24.775,2018-09-19,2900000,1700000,2088,7.079,Released,97,tt8359848,67,6.9
Couples Retreat,"['Comedy', 'Romance']",35.062,2009-09-19,70000000,171844840,1954,5.6,Released,113,tt1078940,23,5.5
21,"['Drama', 'Crime']",34.02,2008-03-27,35000000,159808370,4626,6.694,Released,123,tt0478087,48,6.8
It Could Happen to You,"['Comedy', 'Drama', 'Romance']",31.81,1994-07-29,20000000,37939757,787,6.6,Released,101,tt0110167,64,6.4
Mamma Mia!,"['Comedy', 'Romance']",49.061,2008-07-03,52000000,609841637,6513,7.0,Released,108,tt0795421,51,6.5
The Tuxedo,"['Thriller', 'Action', 'Comedy', 'Science Fiction']",30.06,2002-09-27,60000000,104400000,1949,5.7,Released,98,tt0290095,30,5.4
Mom's Friend 2,['Romance'],36.642,2016-09-01,0,0,11,5.2,Released,92,,,
Hot Shots! Part Deux,"['Action', 'Comedy', 'War']",30.015,1993-05-21,25000000,133752825,1828,6.5,Released,86,tt0107144,64,6.6
Embattled,"['Action', 'Drama']",22.783,2020-11-20,0,0,74,6.6,Released,117,tt6539992,56,6.5
Pink Flamingos,"['Comedy', 'Crime']",44.548,1972-03-17,12000,6000000,490,6.2,Released,93,tt0069089,47,6.0
The Basketball Diaries,"['Drama', 'Crime']",38.547,1995-04-21,2000000,2381087,1981,7.399,Released,102,tt0112461,46,7.3
Zootopia 2,"['Animation', 'Comedy', 'Family']",30.113,2025-11-26,0,0,0,0.0,In Production,0,tt31187839,N/A,N/A
Bad Genius,"['Drama', 'Thriller']",35.956,2024-09-12,0,0,32,6.1,Released,96,tt17717416,N/A,6.0
RoboCop,"['Action', 'Thriller', 'Science Fiction']",39.806,1987-07-17,13000000,53424681,5108,7.331,Released,102,tt0093870,70,7.6
Kubo and the Two Strings,"['Animation', 'Adventure', 'Family']",37.052,2016-08-18,60000000,76249438,3558,7.6,Released,102,tt4302938,84,7.7
Ice Age: A Mammoth Christmas,"['Animation', 'Family', 'TV Movie']",37.8,2011-11-24,0,0,642,6.5,Released,26,tt2100546,N/A,6.4
Step Brothers,['Comedy'],39.301,2008-07-25,65000000,128100000,3089,6.559,Released,98,tt0838283,51,6.9
The Bodyguard,"['Action', 'Drama', 'Romance']",26.546,1992-11-25,25000000,411006740,2947,6.692,Released,130,tt0103855,39,6.4
Step Up,"['Music', 'Drama', 'Romance', 'Crime']",29.041,2006-08-11,12000000,114194847,3686,6.9,Released,104,tt0462590,48,6.5
Horrible Bosses 2,['Comedy'],38.22,2014-11-12,42000000,107645357,4103,6.187,Released,108,tt2170439,40,6.3
172 Days,"['Drama', 'Romance']",43.098,2023-11-23,0,0,23,5.6,Released,103,tt28005338,N/A,6.8
Beverly Hills Cop,"['Comedy', 'Crime', 'Action']",35.105,1984-12-05,14000000,316360478,4147,7.2,Released,105,tt0086960,66,7.4
Total Recall,"['Action', 'Science Fiction', 'Thriller']",33.546,2012-08-02,125000000,198800000,5450,6.0,Released,118,tt1386703,43,6.2
The Colony,"['Action', 'Science Fiction', 'Thriller']",24.857,2013-04-12,16000000,0,1130,5.4,Released,95,tt1160996,28,5.3
Ron's Gone Wrong,"['Animation', 'Science Fiction', 'Family', 'Comedy']",34.118,2021-10-14,0,60692022,1852,7.9,Released,107,tt7504818,65,7.1
Am I OK?,"['Comedy', 'Romance', 'Drama']",39.96,2024-06-11,0,0,216,6.444,Released,86,tt11225626,74,6.0
The Adventures of Sharkboy and Lavagirl,"['Adventure', 'Family', 'Science Fiction']",39.103,2005-06-10,50000000,72000000,1496,5.177,Released,92,tt0424774,38,3.8
Metropolis,"['Drama', 'Science Fiction']",31.602,1927-02-06,5300000,1350322,2762,8.1,Released,148,tt0017136,98,8.3
Three Husbands,['Drama'],21.398,2018-11-25,0,0,22,5.2,Released,101,tt9076570,N/A,5.7
Point Break,"['Action', 'Adventure', 'Crime', 'Thriller']",38.854,2015-12-03,105000000,133782481,2289,6.0,Released,114,tt2058673,34,5.3
Colossal,"['Drama', 'Fantasy', 'Science Fiction']",22.607,2017-04-06,0,3029287,2062,6.3,Released,109,tt4680182,70,6.2
Peter Pan & Wendy,"['Family', 'Fantasy', 'Action', 'Adventure']",30.129,2023-04-20,0,0,670,5.504,Released,106,tt5635026,61,4.4
A Perfect Murder,"['Crime', 'Thriller', 'Drama']",30.847,1998-06-05,60000000,128038368,1369,6.542,Released,107,tt0120787,50,6.6
21,"['Drama', 'Crime']",34.02,2008-03-27,35000000,159808370,4626,6.694,Released,123,tt0478087,48,6.8
Hot Shots! Part Deux,"['Action', 'Comedy', 'War']",30.015,1993-05-21,25000000,133752825,1828,6.5,Released,86,tt0107144,64,6.6
The Other Zoey,"['Romance', 'Drama', 'Comedy']",41.14,2023-10-19,0,168000,382,7.1,Released,91,tt11951276,N/A,5.9
Father's Haunted House,"['Comedy', 'Horror']",49.838,2024-08-08,0,0,5,5.9,Released,93,tt32237658,N/A,N/A
The Ledge,"['Thriller', 'Adventure']",36.868,2022-02-18,2500000,0,347,6.552,Released,86,tt6805938,N/A,5.1
Gravity,"['Science Fiction', 'Thriller', 'Drama']",41.85,2013-10-03,105000000,723192705,15299,7.166,Released,91,tt1454468,96,7.7
Pleasure or Pain,"['Drama', 'Thriller']",27.187,2013-09-05,0,0,78,4.9,Released,102,tt2091327,N/A,4.2
Megan Is Missing,"['Drama', 'Horror', 'Thriller']",29.597,2011-05-01,0,0,693,6.2,Released,86,tt1087461,N/A,4.6
Cold Skin,"['Horror', 'Fantasy', 'Drama']",40.1,2017-10-20,9831962,0,615,6.3,Released,106,tt1034385,N/A,6.0
Ghost in the Shell,"['Science Fiction', 'Drama', 'Action']",36.599,2017-03-29,110000000,169801921,7986,6.1,Released,107,tt1219827,52,6.3
Zack and Miri Make a Porno,"['Comedy', 'Romance']",37.095,2008-09-18,24000000,42105111,2412,6.3,Released,102,tt1007028,56,6.5
Ava,"['Action', 'Thriller', 'Crime']",31.526,2020-07-02,0,2987741,2569,5.8,Released,96,tt8784956,39,5.5
The Guardians of the Galaxy Holiday Special,"['Comedy', 'Science Fiction', 'Adventure']",36.039,2022-11-24,0,0,2007,7.1,Released,45,tt13623136,N/A,6.9
Wallace & Gromit: Vengeance Most Fowl,"['Animation', 'Comedy', 'Family']",35.919,2024-12-18,0,191452,1,10.0,Released,79,tt17163970,N/A,N/A
Dirty Harry,"['Action', 'Crime', 'Thriller']",25.012,1971-12-23,4000000,35976000,2446,7.5,Released,102,tt0066999,87,7.7
Viduthalai: Part II,"['Crime', 'Action', 'History', 'Thriller']",45.062,2024-12-20,6500000,0,4,7.0,Released,166,tt25434834,N/A,N/A
Sully,"['Drama', 'History']",30.514,2016-09-07,60000000,240800000,7166,7.194,Released,96,tt3263904,74,7.4
Alvin and the Chipmunks: The Road Chip,"['Family', 'Adventure', 'Comedy', 'Music', 'Animation']",33.259,2015-12-17,90000000,233755553,1628,6.027,Released,92,tt2974918,33,4.9
Teen Titans: Trouble in Tokyo,"['Animation', 'Action', 'Science Fiction', 'TV Movie']",38.005,2006-09-15,0,0,393,7.8,Released,75,tt0816671,N/A,7.0
Lady Bird,"['Drama', 'Comedy']",28.759,2017-09-01,10000000,79000000,8477,7.3,Released,94,tt4925292,93,7.4
The Long Walk Home,"['Drama', 'History']",28.501,1990-12-21,0,0,133,7.556,Released,97,tt0100046,73,7.3
Krampus 2: The Devil Returns,"['Thriller', 'Action', 'Horror']",33.416,2016-10-04,0,0,80,5.3,Released,83,tt3527772,N/A,1.6
The Breakfast Club,"['Comedy', 'Drama']",32.25,1985-02-15,1000000,51525171,7985,7.7,Released,98,tt0088847,66,7.8
The Perks of Being a Wallflower,['Drama'],37.502,2012-09-20,13000000,33384127,10448,7.8,Released,103,tt1659337,67,7.9
Breakfast at Tiffany's,"['Comedy', 'Romance', 'Drama']",31.75,1961-10-06,2500000,9500000,4155,7.662,Released,115,tt0054698,77,7.6
Hidden Strike,"['Action', 'Comedy', 'Thriller']",33.281,2023-07-06,80000000,0,971,7.0,Released,103,tt6879446,N/A,5.4
